Puzzle,Givens,Difficulty
......4......63..9....2..8......2..457...6.....874..5...56.72......859..6....9..3,25,Expert
.81........2..13..5.38.7.1..3.1.4.97..4.7...2.1...8....58..9.4.9.......3.........,26,Intermediate
..7.2.4.8....5..61.9..68.7.14........8...5...7.5......9....1....14..28....84.6..2,27,Easy
....1...51...256..5...73.812........7...8.342..8...76...7...2.3..9......32.....1.,27,Expert
......7.........3.3..58.69..4.83.2........5.8....2.9..62.3..8....4......879.....6,24,Easy
.........5..784...3....587.....6.5......4326..8.9.27.3......358....3...49..5...2.,27,Easy
......7..2197.3..834.5...91.........7548..2.38.3.....7..54......8....1.......15.4,28,Expert
..6..9..3.79..8.6.4..7.....9....61..38..7.2...67..4..8....4.6.7.......2.......98.,26,Expert
.6.7..5.34.......7..5..9.....73...26....1..7..1...593.931.....4.74......6........,25,Expert
..6.9..38..8....6.1....59....97...8.6....132..3....1.7..1...7.6..73..8.........5.,26,Expert
..........31.....9....9.175.....72.......67....2....144.....3...73.1...22...5..91,24,Easy
....74.31...3.......9.2.8.7...4..1..8.47..9...15...42......7.8.....193.....83....,26,Easy
..2....5..8.3..6..75..964....476................9.376....8.........4.2.9..6237..8,26,Expert
.....7..2.3.9........2.476.....4.69.......3.4.....62.5.82......6..3.5...3..69....,24,Easy
..3....8.....1.2..........4..7.6..42.4...576.1..8....575......6.....85.1.......3.,23,Easy
..327.....5.......8.9......94..5.1...........5..7...29.2.91.4.8.3...7..2..43.2.75,27,Easy
43.......9...6..7..27.....4...42..567......3....1.34.22.....1....9....45..6.....3,25,Easy
.1.....34..7...2.......8....78..642.16......8.5..7..6....5...8.5.3.84..2........1,25,Easy
87.95...14.....75.1...3..8...9....3838..4..7.....9...6.....5.............53..64..,25,Intermediate
31.5.7..66.....3.....9....7..4.........7.94.....1...592..3..17...5.12.94.........,25,Intermediate
.51......6..7814.......6...465..3.1..9...584....9..76..3..9.1..8.4..7............,26,Easy
45...8..9..21..65.6.....4.3.2...9.3..3...5....4.8.6..............1.9..6....4...1.,24,Easy
..9....8.5...7.4.918...9.3...5..4....6..9....7.4.........6..948.7...8.13.3......6,26,Intermediate
......5.1......83.3..5...7.642.......8......3......92..9..7.....7..48.9.1..23..58,25,Intermediate
8..4..9..673....1......86.7....9.1.......6....9.8.....71.2....6.6.9.4.2.2.....48.,26,Easy
.5......9....84..7.1.27......43.......54.9.1..2........4...89.31...9.....3....2..,23,Easy
.53....8...9..475.7......4...4.2.......7......6..93....3.....282....6...9..58..74,25,Easy
...6....45.2.....1...13......62..8....3.47.1..48...35........6....3....2..7.6248.,26,Easy
28....79..5..........9...6.7..85.4...3.6..5........3...7..9....8..27.....4..65.2.,24,Intermediate
.2.3...8.6....7......94...2..2...8.5.5...9..3.6.2.8.7...9.8......87.....3..5.29..,26,Intermediate
....7.6.1.46....8..9.5.....5...........2.4..9.6......7.......6..29..14.567....92.,24,Expert
65.....92..9.........7...5...2..58.4.......1.1.48.6..9.98.7......1......76.9....8,25,Easy
.....39...1649..2...9..7..6..1954.6..2.63..........5.....2...3..6..4.21........59,27,Expert
....519...74.9..5.........2....6941....2746.9.......23.49...1.........466.5......,26,Easy
.59.......8.53..1.2.4......495...87...7.5.4.1.......9352....73..........9..2.3..4,27,Easy
.1...8.....42.1..6...39...1.9....1....5934.....2.6..3.6..........9.5....423...9..,25,Expert
...4.8.6.9..37..4....19.37..7........13..4...6.4...8..2.....9...867.....74...3...,26,Intermediate
......3..648.......5.6.....4..9.6.2..89.3..4..6..1..5.....8493...2...4..8..1..2..,26,Easy
.46..7......9...6.2.........67.542........5.89......7...32.98....2.....4....8...9,23,Intermediate
..2....6.....7..8....14.....3..86.29..1......2.8.9.6....3...8.497...3.......17..3,25,Easy
.8..27.....594.......3...2..6...859..9.53....8......3232..9.8..7...........6.....,24,Easy
...53.1.....2.4..96.9..1.......1.5..3.2.4.6.8...3......41..5..3..........25...4..,24,Easy
.9.6.13.245......1.................618....2..6..8..9....548...932..1..5.......4..,24,Easy
86...4.2.4...23...9.75......3......6...7...9..8.6...7...5.....93....8...6...9.5.3,25,Intermediate
9..64.1....51.7..3..63.95.8...............4..18......66.97........8....1...9.436.,26,Intermediate
2.35....7.7..3.2....5.9..6...9...3..6...7..............2.76..59.....34.1.1.95....,25,Expert
......37...9............562.6.....9.51.2.9.....2.....115.6...8....8.76..3..51....,24,Easy
.47....68....7......2......4.9.62.1.....3...9.78...3...8.3.7..1...8..4..2.6..9...,25,Easy
....2.9...519...3........18.9...5....8.3..4.1..3..4.27.48..2...2..7.3.4..........,25,Expert
...8..2.4.....2....1.75...3....71.3..21...7.....36..8...4....5.7....83.....53...8,25,Easy
.4.5...6.768....2...2...1.9.85...............1.....67...64.5..2.5..1.8......829.4,26,Easy
......8.....3.1...18..69..72.............6.5..13..52.9..2.....6.5...3...3.79....2,24,Intermediate
...7.8.....751..931.8...67.546..3.8..3.......9...4.7..6.9.....1..4.9.36..........,27,Expert
.3..276.5...1...8.2...6.17.3.14.....58.............2...1.8....3.....6.2..57....1.,25,Expert
.49...62..172..8..8....41.7...7.1....326...4.....43.....3.......6.19...2.....8...,26,Expert
..9...4.......1...2....6....2.1.....4.189...795..4.....62.5..8.5....4.9.8..2..7.6,26,Easy
.....3..5..5..97.66..27.94...2....53.4...21...3.547......7...9......62.4.....43..,28,Easy
1......5.89.6.5.......3..48.8...3.946..5.13....3....1.....681..7...1.........9...,25,Intermediate
.1..3......8..26........729.2.9...8.395....6...6.......321..8.71......52....7....,25,Expert
..7196.2.....8..5....5..6.....8..........4.6.....5...46.87..591..2.......59.6.27.,26,Easy
.5..6..8.4.........871.2.5..62...1....12...45...8.......4.....1...5.1896.........,24,Easy
...41..8..2.....7...1.6.9.3.9.........8...6...34.......7..9.3..28...34.....17...2,24,Easy
....4...94...6..216..2...3.....2.5....3..4.1....5.1.....56...7..7..3..92....17...,25,Easy
.5....8.9....85..3...4...6.6.8....3.2..7....6.73..9.24...573.......9.....3.6.87.2,28,Intermediate
...2...61....713..8.6.3.....28.4.......1.7..4......239...9.2...97...6..3.......8.,25,Easy
27.8..3.99....6.4...3....62.65......49.6.7.......2....5...........9.8..4......65.,24,Easy
....4..752..........3.7..9..9.....3.....1...2...5..1...1.3..58.4....53...3.79..4.,24,Easy
.4..6...16..8..9745....7.3...59...4.8...7.....9........64..87..7..4...85....1....,26,Expert
.......9.7....26...9.6732...1.5..................8.1..8.3..7.2...6.1.3.8..52..96.,25,Easy
..7.51..6...7.8.492......8...1......49..8.1..72......4179..48............6.....27,26,Intermediate
..5...2......4.73.........5.52.31....4.7..3....62...8.6..1.8..........4..17...5..,23,Intermediate
.8..62..5..27.4...5..38.4....1.7.3....6............2.73...271...6.....3.17......8,26,Easy
8..3..14.6.7........1..9.6.....78...9.5...7......5.43....5....93..1........7.4..6,24,Expert
...4..5..412..........83...3..715...2......4..76........3..865.8...6.7....75....2,25,Expert
..7..9....4.5..3.893....1..89.3...1.....16..34......5......3..7.7..4........9..4.,24,Expert
4....3....2......1......56....7..3566.7.52....4.31.....7..4....1......72.5.97.1..,26,Expert
.1.2.9.......5..93..3..6.....2...6.9..45...8......4...52...8..6.3..1......64.5..8,25,Easy
...1....3..........5.......43...281.2....1..58...5..7.62...4..8...8...6.7.12.35..,25,Intermediate
.5..7...6.8736....6.3.92.8...9..8.45....2...8.48...9.7...2...79........3.......2.,27,Intermediate
.....75.6.9...2.8.....96...82....1.53.....8..91..7....2.....7...3...8...6..1..3..,24,Easy
.......62.4....5...2..7.8..7......5..1....2..6....5.37...3.6....3485.........142.,24,Easy
.6..94..71...........35.9....186....3....1.9..7.....8.....7....9.75.6...63..4...1,25,Easy
...5.2....63.9.2......3....8.....3...9...7..5.27...6.8.....5...5..784.9....96....,24,Easy
..13.6.......246....38..9.2.96..3........84...4......92....5...3.......891.....53,25,Expert
.5....9..8......7.7....85.13...7...5...52...8.......4.5.328...4..94...5..2......3,25,Easy
2...95..1.9.62..7.1.....6....2....5..19..2.......3.....7..5.4..9...43.1535.......,26,Easy
5....1.....3.......1798.....5.61..3.1...2...88..7.3..53...7.26.......3...29......,25,Intermediate
6..2..8.1.......3..4219.6...2.987.....1..4....9...27....63...2..1.....68....7....,26,Easy
7...4..9..4......26....23.8.2...493.....5.6...5.36..7.....9...7...6.......4.8....,24,Expert
....14.7.....8.1.39...3...8.76.9....1.8..756....8.......7...........598..4.......,23,Easy
.......2....1.....1.7.3.....73....1....8.....6..5..3.7...7.2..4.2146.5..5...8.6..,24,Easy
4...153.91.6..8....3..............6.9...4..58..398...7....71.4....8.4..5....5....,25,Easy
.3...2...9.6..71......3.7.91..3.....26.85.....9...1.5.........2......385...18.6..,25,Expert
3.....6..14.3...7.7...914.....4..9..6....5.1.5..1378.4........3....6....41.......,25,Easy
..4.........7...6......3..1.5.....3.23..1.57.84......6.....2...6...51.8.31..6...4,24,Expert
......3...43.6..79.....7.189.47.2......83.6......49...7......3..2...1.......2.16.,25,Easy
..73...48538...........9.7.3..12..5....5.39..7.5.4...2.8..7...........9...4......,24,Easy
..2..18............13.5....2.......9..63......58..6.1..4.2.538...9...4..13.....9.,24,Expert
.13.4...6....5...9..46.9...8......1......7........35.763.8..7.1....3.....58..4...,24,Easy
.8.5........3.74......82....534..81..2..........2.1..92....41.74...732....7.....8,26,Intermediate
7.154......8.2......6..1..8.6..9.....158.....4..76.2.....4..8.......9....5.....21,24,Expert
...95.6....3.815......7........97....8.2...376.....2.992..1...8...3...62......7..,25,Easy
.9.7..6......6..38.........5...2..9.3.........71..8..51.76....2632.9....8......5.,24,Expert
523....6...658.....9..7.......4.9..794......2.7...5....6.8..9..4.2....563..2.....,26,Expert
.67.....5....3..9.9...21........51.7....16...3..4..2......6.....2.9...4...6.5..29,24,Easy
.84....6.9.2.4.5..67..58..2...8........2....7.4.....56.3..8..9......3......792.35,27,Intermediate
1..3.4....8..2..4....875.1..64.......5...2.3.8..4.3.5...2............8.6...25....,24,Easy
.14.86...98..5...1...1...........49.5........3....9.6....43......36.57...7..916..,25,Easy
..791.53...3...9.......67.1.5....61...........1..7..2.9..53....27...9....38..2.5.,26,Expert
.9.6..21..6.....8.34.9.2.6.....7......6.....1..3.........1..7..7.8.4....2..3....9,23,Easy
..64.8..29.4.2......2..56.3...547...................8...593..7..3.6..8..6.....2.9,25,Easy
3.8..7....4.9.3......5....6..1.749..9..1...4..3.......46....5..5836.1...1.9......,26,Expert
.....31..3...2...8.9..786.....9.2..3...7.4....31................46....72..7..1.9.,23,Easy
.6....54........63..3.1.7...16.35.8.48..21.....7.....585.....12......8..1.4...6.7,28,Expert
.9.5........6....7..473.8.196..8.7....73....61................4.4.....3.689......,23,Expert
...2.36..1...8..7.....1.38....749...8......3.........4.2749.........246...98...1.,25,Easy
..6.4..2....8..1...9..7.......7..9647..62.........8.72.1...........61.496.84....3,26,Easy
....4.3.66..2..1.7.14.3.2....6....8....3..7....25..6..2..7.........5.....7.463..2,26,Expert
....92......4.7....6...19......154...4....6.8..1....9.8.9....21..5....6.2...79.5.,25,Expert
...2..7..8.2.376.......4..3..6.8...17.1...3.8.3....24...3....1....6....2.27..8..9,27,Expert
...1.4.7.3..758.2.18.3....5..4.9..3..3..7..4.5.8.....2........741.......2.....3..,26,Easy
....37.56....6.13....5.....5..3....1....8.7.9.....9....6912...3..8.5.....7.....68,25,Easy
.....8...9..1.6...7...4..12..96...4.1...7....84......1.7.2.......1......46..5.2..,23,Intermediate
...742.....8...2...3..6.....7.3...8......143...1..6..9.1..2...4.2......16..1.8...,24,Easy
..9.....48.3.......5.6.......2..5.6..9..7.4..37.98..2.23......77..4..5...4...2..6,26,Easy
...6.....9.7....2..5..3.97.84....39...6...5..2.......6....29.......4..3.7.4...85.,24,Easy
.38..256.6.9...8.4..5..1....8......9......64.5.4.1...8....6....2......5.14..2...6,26,Easy
.4.26.....9.5...7.6.7.8...3....5..4.8.........5.84.......6..3....54..9..932...8..,25,Easy
..8..9..19..2.86.3.6...7....2.....8...1....5.7.3...9..2...5...9..7.......5.6..7.8,25,Expert
6..1..5.8...2..19..5...7.....97.1.....8...61...78..2...4....7...96....5.8..6...4.,26,Easy
8..6..21.....4..9.9..2..3............3.471......3..1..6.8..24...2418..39.97......,27,Simple
....9......7..41.8.542..6.......1..2......84.......9.5..698...7.78...5.42..4.....,25,Expert
2....6.7.57.93.2.4.9....6......2.9..149.5.....3....1.7........5....4.3.24...1....,26,Expert
...1..3........62....3.....2.3.4....49..6327..1.27......2....9..69.1.73...573....,27,Simple
.....25.8....35.1.1..7.86.....2.1.7...28...............5....76..63...2.17.16....9,26,Easy
.4..7..69...19..54.....53.8...853.1.6........9..........1......8.5.6..4.7..9.....,24,Expert
..9..8....65.978.3.....6.........54..34.8..198.........5....4.1786.5...........5.,25,Intermediate
..9.....71..4..2...4......9..38....5.7834..2.........14.75..1.8.9.....5.......394,26,Intermediate
....831....427.8...2..........53.4.9.....25...97.4...8..2.......7.4.....419.27...,26,Expert
.......9.2.3......7.....42......1.....98......5..2..41.249.......57...8..1.38...5,23,Easy
............3594.....2....81....5..9......3.6.58......98...2634.4...3.2..62.1....,25,Expert
.12..586.8..1.6..99...8.2...7...8.....9......3.....6..6....19..2.8...1..5..9....3,26,Expert
.8......11.6...7233.57.1.6....98........27..57..5.3.865....6..7....5.............,26,Expert
.....6.7.....4.6.9.4.27....2......5.8.4.5..373....9.....5.2.7..9.....468...8....5,26,Expert
.6.9...........14.7...2439..........9..4..73.45326....31.......6.217.9...........,25,Intermediate
.38.57.2.5..19...8...3.8.75.9...3.4.......7.21..2...5.9.............5.1......493.,27,Expert
.2..8.....3.4.9.2....61...8..92.8..661.........2.3..49....25.3......16.....8...9.,26,Expert
...7..6...7.46.2.3..3........9.....58..62.43..3..75.2........4.72.......48.5....7,26,Expert
5..3..2.9...9...1.....153...8....7...3..7.62......2..81.........7.12.53..2..68...,26,Expert
...27....7....8...4.6..98..8..156....1..4......98.7....6.....98.7......5.52...76.,26,Expert
2.54.....7....9...9..3...67......3..5..7.6..9..4........291...6.....5..36...739.1,26,Easy
......83...9.2..4.......9.6.9.14..2.5.23...18.46..8.....56....9....9.......8..35.,26,Expert
...2..9..6..4..15..1..95.3...3..1.27.....75...2..6...3.....6...26.....4...5.3....,25,Expert
81...6..7.9.....2..5......1..53........25.98..89.1..3..3....57.........6..19.....,24,Easy
...4...3.7..21....2.4..8......6.78.4..1......64.........2873..6....6.3..86..2...9,26,Intermediate
..3..5.8.2.5....96.1......3.7.5....8..96...3.8.2........1.9....736....2..2.....5.,25,Easy
.19.58.....526...16.....83..97...2..18...65.......9.......8..........37..623.7...,26,Expert
.5...6.92.87..4..6......8......6.74....92......5........158.....68...51......92..,24,Expert
43...9......36..9.9..2..6..3..47.....67...9.......1..8.72...4......1..8..4.73....,25,Easy
.349.7...............81.9..687..9.4..9...3.5..5.......7.....5...4...56.1.61.8....,25,Expert
..736.9..3....7......218...839..............8....92.7..2.7.6.8.........39.1....24,25,Expert
49...57.....4..8..3.821...9.3.....9.9..7....1582..3.7......4....2.....8..1......4,26,Easy
5....321.6.8........1.5.........69.57.9.....225.9...37......3.......5....82..16..,25,Expert
3..15.2.......3.8...8.2.19...........2.591...8..2.7.1.5..87.9.....3...4..7..1..2.,27,Expert
48...27....3...1...2.1.........3.....9.8.7....7..2...5.1...3..8932..8.4...47....2,26,Expert
58.7......9....8.72....3...8.4..2..........1..75.3......83....193...1.....2.974.8,26,Easy
......9..8....95...3.87...16...52..3...7...8........1..1...5...9.21.6.......2..6.,23,Easy
..4.....17.5.4..6...36.2....6.28.5........3.......4..84..753......86...3.......7.,24,Expert
......5..9..2.43...2.5.7..4....6..9.3.97.....57.8......4..........382...6.5......,23,Easy
9..3.....6..8.73.4.2..........693....6.5.8....4.......8....5.23..2.....5..54..8.7,25,Easy
...4..9.1...8.7..392..1..4..1...8.2...3..2..4..294.1...94.6..7..........3.....8..,26,Easy
...27..8..8..5.............5.732...4..24..5.......6..3..3....7.6..1...5.2.5.3.14.,25,Easy
..8.41............13.58....4.5...3.7.19....8.8..72.5......5...2....1..4.5..3.9...,25,Expert
2..........4....3.78..4265..657....9.7....8..3....4.7......654..9......88....7...,25,Easy
.....681...5.3.6.9.6.9...7..3...7.......5.......34.....8.4..9....7...3.141.6....7,25,Easy
...82..96..643..1.....7.34.......4..983........17..8.9..4.....11.8..6.2..7.......,26,Intermediate
....38......1...7...7...92.2.........8.2135...1..5.3.......28......7.......9..651,23,Simple
.56.....184..21.7.....5........7..13......6.8...4.8.2..8.....5.3....58.7.7..36.4.,27,Expert
2.57...38..83..5...........5.4....72......1..39..1.45....29.7.....4.....9...8.34.,26,Expert
2.8..4.....1.......4..2...8...35.8...3.9.....7.92.......2..7...17..932...9..8..45,26,Easy
....42.8........5.....1.9.2.39..5..78...3.2.414..2.8.....8..47..587.1............,26,Expert
..5213.......85....1...........7.8513....17......6....2.8..751.7.....2.8....5.4.7,26,Intermediate
1..5.63............83.1..........53.5.96..2.1.14......9.....482..6.3..9....1...5.,25,Easy
5...82.4........5...6........2..168...15.4..27...9......7....952.5....7..8...7...,24,Expert
75.14........7....9..8.5..1........8..462..1.6....8..5......1.........76.125...84,25,Easy
.19...........4....65.......2.3..8..3......1....5..69...46...5..53.1.9.6....8..4.,23,Expert
..1..5.7.4.6.3..92..74....1..............6.2.......9.5.6.32....1..5......321.7.54,26,Intermediate
..49.......14268.7....37.1...7....8..2....6...9..8.2..1...6.7..6.38....9.48...1..,28,Easy
41..69....3...4.9.6...1.7..38......7.573.1..9....7..5..4.....8.....5...3.......45,26,Easy
..738.51.2386..4....57.4.6...1..6..7...4..1............7....8...4.158.3..........,26,Easy
.8.9...7......628.6.....9........152.....17..5....8.3996.1.5..3.1..2.....3.8....7,27,Easy
..486.5......2..3..75..4.6.74..5..9....47......89......3..8...........72..9.3...8,25,Expert
.3..8.7....85.49...2.6.3..47.43..........8.7.68...2....9...5.....6.............63,24,Intermediate
.....263...4..........9.5..93...47.5.2...7.1.17.5..9......5.4...9......3...1...97,25,Expert
..5392...6....71.9..7....8....1.........5.7.....963.....8...63........78.9.5...1.,24,Easy
....3..8...........4.12...77...5..3...5..8.16.....3..2........1.2.71..6.83.5.....,23,Intermediate
4...53.6781.....9....1..5.4...6......4....9..13......5.73.9....6........5...7.6.3,25,Expert
45....7........3.9..34.6..5......2....1.....33......579........72...3.64.4.5.9...,24,Easy
.943.7.....3....5..2...1.47.....4.3.5.28......7..1.....37..9.8.1..5..9.........7.,25,Intermediate
6.7.8.1...1.4...7.....9....49...256..2.76...4.5.8......8.....1...5............9.8,24,Expert
.3..7846..6...3..8..7...........284.2...8....5.6..4......2..1....8..6.........2.5,23,Intermediate
....893...8.....45.14..3.9..58.6........4.7..................1.4.375..896...3....,24,Easy
..4..952..295...4..............8.35....3.5.9.7...6.....93.564..8.2....7..5.....3.,26,Intermediate
138...........7......13.26.4.6.......5..21....7....4.......3.2526..7...47...1.3..,25,Expert
...967.2.......6..1..4.2...4.2.8.5..6...5....81....24...........5....8.1...829...,24,Expert
..........238.......8.....5.4..3.6....9.5.14..1.....9.1..9.8.3..3.4....66...132..,25,Expert
.....9......5.1..9.......8..6.1.....42.....675....6842..5....76..6.7.9.1.49....2.,26,Easy
879....6....51..2......7..95...6.9.2...3.....6.31..8.57.5..3....91...............,24,Expert
..75.8.1..81..6...6.2.9....8.......1.9.6..........4682......95....7....4......26.,24,Expert
...4..95..92.58.3...3...4.......5...15.8..6.....641.2..3..84.....4.62.1....3.....,27,Expert
69...32..5.4...9.63..9.......5...84..1....6.92......5..6..4.......5....4...3.2...,24,Easy
..2...5.3...54.7.1..4.......6...9..51...5..9....4.72..9..17..........6....32....7,24,Expert
..6.32..9.5.96.13...1....6.......5....3...98.....2.....38....7....31.6..2...87...,25,Intermediate
8.1..9....75.....3..6...5...32...6.7.....7.52......38.5.....971.....2..5..79...3.,26,Easy
.23..9.......1.......3....84.9......1.....57..7.....14.15.9..4..3.45.1.28.......9,25,Easy
..7.5..........3.49...63..532........1.........47...6...5.4...129.51.4.......9..7,24,Expert
6.....9.5.......6..24.7....2.....5...3..24.1.9..3..6.4..36..75........3......1...,23,Easy
2.4..17......7.6.....3....9.......9.3...8....79...32.4..7...38.16......7......421,25,Expert
..3516....85....6...........98.........3.1...6..2.7.....9..58...2.8..67..3.....25,24,Expert
..4.71...7.........1.94...8..879..2.69.5...1.....8..96.........97..2....4.26...5.,26,Intermediate
.1...3............5..2.1.......57....38...7..6......32..5.6..8.1....85.99.2....71,24,Easy
.9.....57.47..53.1....8..6.....5.8..1.....4.5...4...3..1..9...66.3...........7...,23,Easy
.....41..1.6.....8.......2..3.......2.4637...6.71..8..32..5..8.........5...28.43.,25,Intermediate
.3....1...4.21.5........386.....1.6.4.6.......1..8.7.3.6..3.21........5827.......,25,Intermediate
.19.42..6.2.1.......4....7.1....6....5...13.9.3.7...1.3....7.....2.......9.6.....,23,Easy
9..67..14.6.....2.1...2..876...9..............3.8...6.....49.7...7..32.8....1....,24,Easy
.....8.....6.7..........31..814.3.....4..71..35.1.2..7.2........7...1..6.4...5.28,25,Easy
1.79.........2.7....5..4..18..2..5...9...5.....24.8....6.51..9.45.7..2.6.....6...,26,Expert
..815.7........5...16..48.......519.....39.7.........4..1.8....3...7.9.....6....3,23,Intermediate
....3..29.24..8.......5.3..4.....86..6.8.74..7....6....8.....532.6..5.....9...2..,25,Expert
....7.63.....8....3.2.1..7....832....6....8.......6..16.9..7....3.5..9...87.6.3.2,26,Expert
.8.3.9....3.4.867.7...........7.6...94853......5..1..4.......5...41........6978..,26,Expert
1......9....4......39.7.2...........6..2.......1...456.13.....4..4...735..6..5.1.,23,Easy
5......4.........22.648.1..897.61.5........7.....4..1......67....9.54.2...5.7.98.,27,Simple
...82...4.54.......1............83.5...39.62...3....9.2...1.....6.....4..8925....,23,Expert
46...9...59.1..6......3.1...7...5....5...376...86...13.......8...........458...9.,24,Easy
8..7.6..1.5.....28....2...4.27......6...74....3.6.28...4.3.8...586........1......,25,Easy
.9.8...7.7..19.3.4.....3.1......5...9.73.65..86.4..........79..4..9..1.........6.,25,Easy
.82...7.4.......8.....7.....56..741.7....1..99....5..8..72....5.45....91...8.46..,27,Expert
.25...74.3.7.6..12......8........45.1.3....2...6..8.....8..73..5...8.......2.36..,25,Easy
3...6.18.2...7.53..9.1...7.7...15......8.....95...2....2...19..5.89.........8.6..,26,Expert
...1.......6..45.3....3......4.83.9...8....6...34.6.5....92....98.5..1...4...82..,25,Easy
...8.4.9.....76..16.9..2....5.4..729........8...2...1....51...71..7.8...4......5.,25,Easy
..6.......2.5.1....592.4...96....1.42.........1..3..9..45...2.........61...79....,23,Expert
....1.8.4.4..3.5...........2...8.6..51.2..3....3.5.4....8.2...9....65.8...9..1.5.,25,Easy
...4.81..8.1....97.....74....2.......17.........2....3........2.6.8..349.93.2.6..,24,Easy
5..4.7.1..1...59..89.....6......8....3...6.7.7........9...8..3.1..9.3..76..5....8,25,Easy
...4...69....57........1...4..8...13...9..6..73..4.95..1.5..8...7..1..4......9..5,25,Expert
..9.............967....85..23....8....8....515......6..163...8...569..12.....7...,24,Easy
......5....2....7818......33.1..87.5...5...4..7..41.8....7.....5...64...2.73..6..,26,Expert
